"state","cases","deaths","state.rate"
"Alabama",108217598,1986203,1.84
"Alaska",12176769,57974,0.48
"Arizona",170946356,3429632,2.01
"Arkansas",67032054,1101842,1.64
"California",714568374,11112159,1.56
"Colorado",93331929,1477994,1.58
"Connecticut",62301738,2290608,3.68
"Delaware",19069488,363233,1.9
"District of Columbia",10123274,302969,2.99
"Florida",441096996,7446045,1.69
"Georgia",212774787,3965359,1.86
"Guam",2217538,31039,1.4
"Hawaii",6607033,93836,1.42
"Idaho",37540727,399664,1.06
"Illinois",270739405,5726056,2.11
"Indiana",139582297,2796021,2
"Iowa",75868103,1170739,1.54
"Kansas",61270854,886523,1.45
"Kentucky",81490302,1108570,1.36
"Louisiana",101013970,2670041,2.64
"Maine",9131251,141450,1.55
"Maryland",90183940,2140500,2.37
"Massachusetts",129843236,4719141,3.63
"Michigan",157373540,4466740,2.84
"Minnesota",109043758,1568305,1.44
"Mississippi",65526776,1595828,2.44
"Missouri",116594728,1822485,1.56
"Montana",20625079,273504,1.33
"Nebraska",44705960,471247,1.05
"Nevada",63783497,1073718,1.68
"New Hampshire",14930044,283477,1.9
"New Jersey",186855114,7453154,3.99
"New Mexico",38148457,786691,2.06
"New York",391662873,15657152,4
"North Carolina",179273984,2452788,1.37
"North Dakota",22421651,314598,1.4
"Northern Mariana Islands",38753,852,2.2
"Ohio",195608383,3577670,1.83
"Oklahoma",84840984,1012422,1.19
"Oregon",33426032,476888,1.43
"Pennsylvania",199718611,5686194,2.85
"Puerto Rico",31720631,453629,1.43
"Rhode Island",27461574,640220,2.33
"South Carolina",108241509,1915101,1.77
"South Dakota",24938118,374397,1.5
"Tennessee",162316051,2227992,1.37
"Texas",566184052,9761890,1.72
"Utah",77145081,412498,0.53
"Vermont",3235607,49127,1.52
"Virgin Islands",644217,7419,1.15
"Virginia",122074227,2044362,1.67
"Washington",77166630,1277847,1.66
"West Virginia",25591263,452220,1.77
"Wisconsin",134079973,1489246,1.11
"Wyoming",11041401,121919,1.1
